Time,EMG_value,Yaw,Roll,Pitch
0,48,95.11,-136.94,104.28
100,24,95.11,-136.36,104.28
200,46,95.68,-136.36,105.42
300,29,95.68,-136.36,105.42
400,24,95.68,-136.36,105.42
500,41,96.26,-136.36,106.0
600,33,96.26,-135.79,106.57
700,31,96.26,-135.79,106.57
800,37,96.26,-136.36,107.72
900,39,96.26,-136.36,107.72
1000,29,96.26,-136.36,107.72
1100,55,96.83,-135.79,108.86
1200,26,96.83,-135.79,108.86
1300,59,96.83,-135.79,109.43
1400,13,97.4,-135.79,110.01
1500,25,97.4,-135.79,110.58
1600,17,97.4,-135.79,110.58
1700,21,97.98,-136.94,111.15
1800,232,96.26,-140.95,111.15
1900,75,89.95,-148.97,110.58
2000,48,44.12,174.18,103.13
2100,139,-10.89,156.42,72.77
2200,42,-26.93,162.15,67.61
2300,16,-46.41,173.61,65.89
2400,38,-46.41,175.33,65.32
2500,54,-41.83,174.18,65.89
2600,18,-29.79,169.6,68.75
2700,29,-20.05,166.73,71.62
2800,43,17.76,166.73,87.09
2900,55,63.03,-163.29,103.13
3000,56,83.65,-143.24,104.85
3100,28,93.97,-135.22,103.71
3200,32,97.98,-128.92,103.71
3300,18,99.12,-124.33,104.85
3400,62,99.12,-123.76,105.42
3500,45,97.4,-122.04,108.29
3600,14,97.4,-122.04,108.29
3700,33,97.4,-122.04,108.29
3800,56,97.98,-122.61,108.86
3900,24,97.98,-123.19,108.86
4000,47,98.55,-123.19,109.43
4100,76,96.83,-127.2,110.01
4200,289,94.54,-130.63,110.01
4300,326,93.39,-132.35,110.01
4400,402,70.47,-162.72,108.86
4500,82,36.1,166.16,99.12
4600,54,10.31,152.41,87.09
4700,170,-17.19,152.41,73.34
4800,148,-32.66,156.99,68.18
4900,56,-34.95,157.56,67.04
5000,105,-28.07,158.14,71.62
5100,122,-24.06,157.56,73.34
5200,46,4.01,161.57,87.66
5300,41,40.68,-177.04,101.99
5400,227,69.33,-150.69,107.14
5500,297,87.66,-132.35,104.28
5600,37,93.97,-125.48,101.41
5700,71,95.68,-124.33,102.56
5800,71,95.68,-124.33,102.56
5900,72,94.54,-125.48,104.28
6000,168,93.97,-125.48,104.85
6100,104,94.54,-126.05,105.42
6200,64,95.11,-127.77,106.57
6300,116,95.11,-129.49,106.57
6400,83,93.97,-131.78,107.72
6500,207,82.51,-151.83,104.85
6600,19,59.59,-178.76,101.41
6700,32,30.94,160.43,91.1
6800,70,-3.44,149.54,77.35
6900,54,-22.92,150.11,72.19
7000,20,-27.5,151.26,70.47
7100,20,-27.5,151.26,70.47
7200,30,-14.32,150.69,74.48
7300,73,5.73,153.55,84.22
7400,73,5.73,153.55,84.22
7500,59,53.29,-172.46,106.0
7600,39,83.08,-143.81,108.29
7700,75,94.54,-133.5,106.0
7800,71,97.4,-130.63,109.43
7900,64,97.98,-128.92,111.73
8000,22,97.4,-129.49,112.87
8100,18,97.4,-129.49,113.45
8200,33,96.83,-130.06,114.02
8300,45,96.83,-130.06,114.59
8400,43,97.4,-130.63,115.16
8500,34,97.98,-131.21,116.31
8600,246,96.83,-135.22,116.31
8700,164,81.93,-161.57,114.59
8800,463,69.33,178.19,110.01
8900,80,33.23,143.24,93.97
9000,85,1.72,137.51,78.5
9100,58,-19.48,140.37,73.34
9200,90,-26.93,144.39,72.19
9300,38,-25.21,144.96,71.05
9400,56,-17.19,141.52,73.34
9500,16,-2.29,138.66,79.64
9600,64,24.06,143.81,92.82
9700,72,42.97,158.14,101.99
9800,162,69.33,-167.3,112.87
9900,77,88.81,-139.8,114.59
10000,35,100.27,-124.9,112.87
10100,28,100.84,-123.76,114.02
10200,38,101.99,-123.76,115.16
10300,37,101.41,-123.76,116.31
10400,42,101.41,-123.76,116.31
10500,30,101.99,-124.33,116.31
10600,49,101.41,-132.93,114.59
10700,357,88.24,-162.72,112.3
10800,46,59.01,159.28,106.57
10900,107,25.21,139.23,93.39
11000,190,-2.86,137.51,84.8
11100,69,-23.49,141.52,81.93
11200,78,-28.65,142.09,77.92
11300,143,-23.49,140.37,77.35
11400,46,-13.18,139.23,80.79
11500,23,0.57,138.66,87.66
11600,70,25.21,147.82,99.69
11700,70,25.21,147.82,99.69
11800,82,80.21,-149.54,119.75
11900,82,92.25,-135.22,118.6
12000,66,101.99,-127.2,115.74
12100,34,104.28,-125.48,116.31
12200,34,104.28,-124.33,116.31
12300,35,105.42,-122.61,117.46
12400,34,105.42,-122.61,117.46
12500,25,106.57,-122.61,117.46
12600,62,106.57,-122.04,117.46
12700,39,107.72,-122.04,118.03
12800,45,101.41,-134.65,118.03
12900,392,62.45,173.61,114.02
13000,98,45.26,158.71,109.43
13100,92,8.59,135.22,92.25
13200,126,-15.47,128.92,79.64
13300,98,-18.33,130.06,77.35
13400,44,-21.2,132.93,74.48
13500,55,-14.32,131.21,77.35
13600,14,1.15,132.35,87.09
13700,39,13.75,137.51,93.39
13800,33,45.84,163.29,111.73
13900,72,75.63,-161.0,119.75
14000,48,90.53,-141.52,118.6
14100,90,103.13,-127.77,114.59
14200,36,104.85,-126.05,114.02
14300,47,107.14,-123.76,114.02
14400,43,108.29,-121.47,115.16
14500,105,108.29,-120.89,115.16
14600,126,108.86,-120.89,116.31
14700,26,108.86,-122.04,116.31
14800,30,109.43,-123.19,116.88
14900,292,87.66,-154.7,117.46
15000,254,60.73,169.6,111.73
15100,60,33.23,140.95,97.98
15200,94,-2.29,130.06,74.48
15300,46,-16.62,135.22,66.46
15400,33,-17.76,136.94,67.04
15500,21,-10.89,135.79,67.61
15600,26,0.0,132.93,71.62
15700,26,17.19,133.5,79.07
15800,39,32.09,141.52,88.81
15900,62,56.72,167.88,108.86
16000,96,78.5,-161.57,118.03
16100,59,84.22,-152.41,120.32
16200,114,111.15,-115.74,120.89
16300,43,113.45,-115.74,120.32
16400,202,114.59,-115.74,120.89
16500,66,114.02,-116.31,121.47
16600,71,114.02,-116.88,120.89
16700,72,114.02,-117.46,120.89
16800,62,114.59,-117.46,120.89
16900,62,114.59,-117.46,120.89
17000,74,114.59,-122.61,120.89
17100,408,84.8,-170.17,122.04
17200,66,62.45,162.72,118.03
17300,341,20.63,134.07,99.69
17400,107,-3.44,129.49,83.65
17500,51,-8.59,129.49,79.07
17600,82,-7.45,131.21,74.48
17700,18,0.57,130.63,79.07
17800,36,9.17,131.21,85.37
17900,74,32.66,142.09,100.84
18000,416,63.03,174.75,118.03
18100,65,91.1,-147.25,124.33
18200,60,101.99,-134.07,123.76
18300,72,112.3,-121.47,122.61
18400,107,114.02,-120.32,122.04
18500,127,116.31,-119.18,123.19
18600,90,116.31,-119.18,123.19
18700,72,116.31,-118.6,124.33
18800,46,116.88,-118.6,124.33
18900,17,116.88,-118.6,124.9
19000,28,118.03,-118.6,124.9
19100,28,118.03,-118.6,124.9
19200,77,112.3,-131.78,124.9
19300,197,97.98,-154.7,127.2
19400,137,71.05,172.46,128.34
19500,83,38.39,140.37,117.46
19600,104,14.9,122.04,97.4
19700,108,5.16,119.75,84.8
19800,52,-6.88,124.33,71.62
19900,45,-7.45,126.05,71.62
20000,33,1.72,124.9,76.2
20100,49,14.32,124.9,82.51
20200,39,26.36,129.49,92.25
20300,29,41.83,140.95,105.42
20400,27,59.59,162.15,116.31
20500,128,71.62,177.62,121.47
20600,28,94.54,-152.41,125.48
20700,18,111.15,-128.92,125.48
20800,74,114.02,-125.48,125.48
20900,56,118.6,-121.47,124.9
21000,56,118.03,-120.89,126.05
21100,55,118.6,-120.89,126.05
21200,22,118.03,-120.32,126.62
21300,4,118.03,-120.89,126.62
21400,101,119.18,-120.89,127.2
21500,108,114.59,-131.21,128.92
21600,104,91.67,-169.6,130.63
21700,160,60.73,148.97,122.04
21800,64,38.96,128.34,108.86
21900,97,14.9,118.6,87.66
22000,122,6.3,119.75,78.5
22100,79,-1.15,119.18,72.77
22200,66,-4.58,120.32,68.75
22300,133,2.86,118.6,74.48
22400,116,20.05,121.47,85.94
22500,36,34.95,134.65,97.98
22600,110,48.13,151.26,111.73
22700,61,72.77,-173.61,128.92
22800,48,94.54,-147.25,133.5
22900,41,103.13,-139.8,132.93
23000,77,115.16,-128.92,130.63
23100,22,119.18,-126.62,130.63
23200,23,118.6,-126.62,131.78
23300,54,120.32,-126.05,131.78
23400,68,120.32,-124.33,132.93
23500,79,120.32,-123.76,134.07
23600,84,120.32,-123.19,134.65
23700,39,114.59,-128.92,135.79
23800,45,94.54,-158.71,135.79
23900,126,65.32,159.28,129.49
24000,69,36.1,125.48,110.01
24100,52,25.78,115.74,97.4
24200,36,5.16,107.14,72.77
24300,58,0.0,106.0,67.61
24400,37,-0.0,107.14,67.61
24500,44,3.44,106.57,69.9
24600,31,11.46,104.85,75.63
24700,37,14.32,105.42,77.35
24800,34,33.8,114.59,92.25
24900,28,57.3,139.23,111.15
25000,31,69.33,158.71,119.75
25100,77,92.25,-163.87,131.21
25200,54,106.0,-142.09,135.22
25300,49,118.03,-126.05,135.79
25400,26,120.89,-122.61,136.94
25500,85,122.61,-120.89,136.94
25600,98,123.19,-119.18,137.51
25700,111,123.76,-118.03,136.94
25800,122,123.76,-118.03,136.94
25900,190,123.76,-118.03,139.23
26000,161,112.87,-135.79,140.95
26100,107,76.78,169.02,135.22
26200,207,61.31,145.53,128.34
26300,39,29.79,110.01,101.99
26400,31,14.9,100.27,82.51
26500,137,10.89,98.55,75.06
26600,34,4.01,97.98,69.33
26700,46,7.45,97.98,72.19
26800,49,12.03,96.83,75.06
26900,23,30.94,102.56,89.38
27000,30,45.84,111.15,99.69
27100,65,57.87,120.89,108.29
27200,28,72.19,139.8,118.6
27300,30,88.81,-179.91,131.78
27400,90,100.27,-156.42,137.51
27500,19,119.18,-126.05,139.23
27600,38,123.76,-121.47,137.51
27700,49,124.9,-121.47,138.08
27800,35,124.9,-121.47,138.08
27900,16,124.33,-122.04,138.08
28000,38,124.33,-122.04,138.08
28100,61,124.33,-122.61,138.08
28200,30,116.88,-126.62,139.8
28300,80,93.39,-152.98,139.8
28400,408,67.61,171.31,131.78
28500,16,38.96,132.93,111.73
28600,66,17.19,112.87,91.67
28700,217,9.74,106.0,80.21
28800,8,4.01,106.0,70.47
28900,19,2.86,105.42,71.05
29000,27,7.45,105.42,73.91
29100,34,18.33,104.28,80.79
29200,12,27.5,107.14,88.81
29300,29,44.69,120.32,105.42
29400,25,53.29,130.06,112.3
29500,78,84.8,-178.76,131.78
29600,119,108.86,-146.1,135.79
29700,61,113.45,-139.23,135.79
29800,92,126.05,-122.04,135.22
29900,68,128.34,-118.03,135.79
30000,40,130.06,-116.88,136.94
30100,65,130.06,-116.31,137.51
30200,48,130.06,-116.31,136.94
30300,199,128.92,-119.75,136.94
30400,665,115.16,-147.25,137.51
30500,585,84.8,161.57,133.5
30600,250,55.58,127.2,120.89
30700,126,37.24,111.15,107.14
30800,42,16.62,99.69,83.65
30900,23,8.59,99.69,72.77
31000,32,8.02,100.84,71.05
31100,23,10.89,99.69,73.91
31200,56,19.48,100.27,81.36
31300,30,31.51,104.28,92.25
31400,37,52.14,117.46,111.15
31500,61,76.2,142.09,124.9
31600,61,95.68,171.89,131.21
31700,102,112.87,-162.72,133.5
31800,26,125.48,-142.09,132.93
31900,25,132.93,-127.77,131.78
32000,47,135.22,-122.61,133.5
32100,55,134.65,-120.89,134.65
32200,22,134.65,-121.47,134.65
32300,27,134.65,-120.89,135.79
32400,107,134.07,-122.61,136.36
32500,48,130.06,-135.79,135.79
32600,554,111.15,-177.62,132.93
32700,117,75.06,130.06,120.89
32800,341,52.71,107.14,103.71
32900,166,26.93,99.69,81.36
33000,31,18.91,101.99,74.48
33100,74,13.18,108.29,67.61
33200,26,17.76,108.29,71.05
33300,28,25.78,110.01,77.92
33400,30,37.82,118.03,92.25
33500,60,47.56,126.62,104.85
33600,46,72.19,163.29,126.62
33700,76,86.52,178.19,134.07
33800,11,116.31,-148.4,138.66
33900,28,126.05,-137.51,139.23
34000,46,130.63,-131.78,138.66
34100,15,130.63,-131.21,138.66
34200,14,131.78,-128.34,139.8
34300,24,131.78,-128.92,139.23
34400,35,131.78,-128.34,139.8
34500,20,131.21,-128.92,139.8
34600,60,131.21,-128.92,139.8
34700,307,129.49,-133.5,140.95
34800,243,111.15,-166.16,143.24
34900,359,91.1,161.57,142.67
35000,282,49.27,110.58,121.47
35100,28,28.07,90.53,89.38
35200,133,21.77,92.82,77.35
35300,87,15.47,96.26,69.33
35400,87,15.47,96.26,69.33
35500,23,20.63,99.69,71.05
35600,16,26.93,96.83,75.06
35700,27,38.39,96.83,89.38
35800,26,45.26,101.99,97.98
35900,70,70.47,135.22,124.9
36000,66,93.39,170.17,135.79
36100,201,109.43,-156.99,139.23
36200,19,126.62,-131.78,140.95
36300,24,132.35,-126.62,140.37
36400,18,133.5,-125.48,140.37
36500,25,135.22,-124.9,141.52
36600,43,134.65,-125.48,141.52
36700,20,134.65,-124.9,142.09
36800,25,134.65,-124.9,142.09
36900,63,134.65,-124.9,142.67
37000,231,125.48,-137.51,143.81
37100,88,104.28,-169.02,142.67
37200,54,68.75,141.52,134.07
37300,50,50.42,120.32,119.18
37400,108,37.24,105.42,103.13
37500,39,23.49,99.69,81.93
37600,62,17.19,99.12,74.48
37700,41,10.89,101.41,68.18
37800,52,11.46,102.56,66.46
37900,70,14.9,101.99,68.75
38000,52,25.21,101.41,78.5
38100,46,33.8,104.28,88.81
38200,50,44.69,111.73,101.41
38300,87,60.73,130.63,118.6
38400,80,78.5,159.86,134.07
38500,38,96.26,-172.46,140.37
38600,74,115.16,-146.68,141.52
38700,28,129.49,-130.06,141.52
38800,53,131.21,-128.34,141.52
38900,31,131.78,-127.77,142.09
39000,30,131.21,-128.92,142.67
39100,13,130.63,-128.92,142.67
39200,18,130.06,-132.93,142.67
39300,117,115.74,-155.84,143.81
39400,74,100.27,178.76,143.24
39500,66,63.03,126.05,130.63
39600,404,44.69,101.41,107.72
39700,119,34.38,89.38,87.66
39800,80,29.22,87.09,75.06
39900,148,20.05,91.1,61.88
40000,148,20.05,91.1,61.88
40100,24,22.35,91.67,62.45
40200,20,26.36,90.53,66.46
40300,66,34.38,91.1,77.92
40400,36,41.83,95.11,89.38
40500,43,53.86,110.01,107.72
40600,36,61.31,120.89,115.16
40700,45,80.21,156.42,131.21
40800,95,101.41,-169.6,139.8
40900,34,119.18,-147.82,143.24
41000,34,119.18,-147.82,143.24
41100,25,128.92,-138.66,143.24
41200,56,129.49,-138.08,143.24
41300,31,131.78,-134.65,143.81
41400,19,131.78,-134.07,144.39
41500,16,130.63,-135.22,144.39
41600,77,130.06,-136.36,144.39
41700,77,130.06,-136.36,144.39
41800,53,95.11,171.89,143.24
41900,191,67.04,130.63,132.35
42000,60,50.99,108.29,114.59
42100,177,38.96,91.67,92.25
