Time,EMG_value,Yaw,Roll,Pitch
0,4635,29.79,-130.06,31.51
100,4756,22.35,-124.9,14.9
200,2891,-120.89,21.2,3.44
300,1702,-169.6,71.62,5.16
400,1245,173.61,93.39,5.16
500,3007,60.16,-151.83,5.16
600,1899,45.84,-134.65,12.61
700,4745,42.4,-129.49,25.21
800,2297,40.11,-126.05,33.23
900,2297,40.11,-126.05,33.23
1000,917,40.11,-122.61,37.82
1100,4863,39.53,-121.47,40.11
1200,1759,39.53,-121.47,40.11
1300,4308,38.96,-120.89,39.53
1400,1732,37.24,-119.18,39.53
1500,2523,30.94,-118.03,40.11
1600,4486,0.57,-118.6,52.14
1700,4859,-26.36,-126.05,75.06
1800,3897,-41.25,-129.49,91.1
1900,2579,-48.13,-130.06,101.41
2000,1143,-49.85,-128.34,103.13
2100,1498,-48.7,-130.63,100.27
2200,4602,-39.53,-128.92,88.81
2300,4897,-23.49,-125.48,71.05
2400,1754,-12.03,-124.9,61.88
2500,3116,1.15,-124.33,53.29
2600,4179,36.67,-121.47,38.96
2700,4121,42.97,-121.47,38.39
2800,3979,47.56,-121.47,39.53
2900,2664,49.85,-121.47,40.11
3000,4765,48.7,-120.89,40.11
3100,4022,48.7,-120.32,39.53
3200,981,48.7,-119.75,39.53
3300,2495,46.98,-119.18,39.53
3400,4863,45.26,-117.46,39.53
3500,2551,34.95,-112.87,40.68
3600,1028,30.94,-111.73,41.83
3700,3714,-6.3,-103.71,57.3
3800,4557,-31.51,-108.86,73.34
3900,2562,-41.25,-112.87,81.93
4000,3411,-48.7,-113.45,88.81
4100,4126,-55.58,-113.45,98.55
4200,1727,-55.58,-112.87,97.4
4300,2974,-48.13,-111.15,91.1
4400,2688,-39.53,-110.01,82.51
4500,4039,-18.91,-110.58,64.74
4600,2499,1.15,-112.87,52.71
4700,1669,24.64,-120.89,44.12
4800,2104,33.8,-126.05,41.83
4900,3500,42.4,-130.63,40.68
5000,2657,46.98,-133.5,40.11
5100,2562,46.98,-133.5,40.11
5200,1691,45.84,-132.35,39.53
5300,3290,37.82,-127.77,39.53
5400,2425,21.2,-122.04,41.25
5500,2183,-2.86,-117.46,48.7
5600,3126,-11.46,-116.88,54.43
5700,4092,-37.82,-115.16,76.2
5800,1665,-52.14,-115.74,91.1
5900,2222,-54.43,-117.46,97.98
6000,3004,-54.43,-117.46,97.4
6100,3175,-51.57,-116.88,93.39
6200,2736,-43.54,-115.74,84.22
6300,4025,-33.8,-114.59,73.34
6400,4133,-16.04,-115.16,61.88
6500,1379,5.73,-117.46,50.99
6600,1729,22.92,-123.19,45.84
6700,2548,34.95,-127.2,42.97
6800,3049,41.25,-128.34,41.83
6900,2628,48.13,-130.63,41.83
7000,888,48.13,-131.21,41.83
7100,4065,44.69,-130.06,41.83
7200,2082,36.1,-127.77,41.25
7300,2426,20.05,-124.33,42.4
7400,2428,-2.86,-118.6,49.27
7500,1718,-13.75,-118.03,56.15
7600,3169,-24.64,-116.31,63.6
7700,2357,-47.56,-119.75,87.09
7800,2418,-51.57,-119.18,92.82
7900,2840,-50.99,-118.6,94.54
8000,1957,-49.85,-118.6,91.67
8100,1694,-44.12,-118.6,84.22
8200,3093,-39.53,-118.03,77.92
8300,2170,-24.64,-118.6,67.04
8400,1677,-5.16,-119.75,56.15
8500,2078,20.05,-121.47,46.41
8600,2192,42.4,-124.33,41.83
8700,1449,48.7,-124.9,40.11
8800,3868,55.58,-126.05,40.68
8900,2721,56.72,-127.2,40.68
9000,3261,55.58,-126.05,40.68
9100,2745,49.85,-124.9,40.68
9200,1502,33.23,-127.2,41.83
9300,1731,4.01,-124.9,48.13
9400,2580,-18.91,-124.33,61.31
9500,2608,-34.95,-123.19,74.48
9600,2935,-48.13,-124.33,88.24
9700,4865,-49.85,-124.9,92.25
9800,4033,-49.85,-125.48,92.82
9900,4033,-49.85,-125.48,92.82
10000,2149,-40.11,-122.61,83.08
10100,3700,-34.38,-121.47,77.35
10200,4030,-23.49,-120.32,68.18
10300,2072,1.72,-120.32,55.58
10400,4014,22.35,-121.47,49.85
10500,1905,27.5,-122.61,48.13
10600,1673,47.56,-127.77,45.26
10700,2906,52.14,-128.92,44.69
10800,2643,52.71,-128.92,45.26
10900,3069,50.42,-128.34,44.69
11000,2798,43.54,-127.77,44.69
11100,2675,28.65,-128.92,44.12
11200,2062,1.15,-130.06,47.56
11300,2525,-23.49,-131.21,61.88
11400,2014,-33.8,-129.49,69.9
11500,4190,-45.84,-126.62,85.94
11600,1731,-49.27,-124.33,90.53
11700,1232,-49.85,-124.33,90.53
11800,1633,-46.98,-124.9,84.22
11900,4696,-38.96,-124.9,75.06
12000,1913,-21.77,-123.76,64.74
