Time,EMG_value,Yaw,Roll,Pitch
18100,73,64.74,159.86,124.9
18200,108,41.25,130.63,115.16
18300,98,17.19,110.58,96.26
18400,141,8.59,105.42,83.65
18500,230,6.3,104.85,78.5
18600,173,16.62,106.0,90.53
18700,79,25.78,110.58,101.41
18800,176,48.7,135.22,120.32
18900,270,65.32,155.84,126.62
19000,54,80.21,178.76,127.2
19100,162,97.4,-159.28,123.19
19200,162,101.99,-154.7,120.32
19300,80,102.56,-152.98,119.18
19400,126,103.13,-151.83,119.18
19500,89,101.99,-151.83,119.75
19600,113,101.41,-152.41,120.32
19700,231,100.27,-152.98,122.04
19800,63,91.67,-163.29,125.48
19900,249,64.17,154.7,123.19
20000,36,46.41,131.21,114.02
20100,154,25.78,115.16,96.83
20200,98,14.9,111.73,83.08
20300,223,13.75,111.15,79.07
20400,257,22.92,114.59,91.1
20500,64,30.94,120.32,101.41
20600,294,64.74,158.14,124.33
20700,102,88.24,-175.33,124.9
20800,98,95.11,-169.6,123.19
20900,254,100.27,-161.57,122.61
21000,140,100.27,-159.86,123.19
21100,123,99.69,-157.56,124.9
21200,117,97.98,-156.99,126.05
21300,95,97.98,-155.84,126.62
21400,74,96.26,-155.27,127.77
21500,142,95.68,-155.27,128.34
21600,329,92.82,-157.56,130.63
21700,329,92.82,-157.56,130.63
21800,306,42.4,130.63,119.75
21900,149,20.63,112.3,96.26
22000,54,14.9,113.45,87.09
22100,208,10.89,116.31,82.51
22200,139,14.9,115.16,87.66
22300,208,21.2,116.88,98.55
22400,335,33.8,125.48,115.16
22500,353,64.74,159.28,130.63
22600,77,92.25,-166.16,130.06
22700,144,101.41,-152.98,126.62
22800,72,105.42,-146.1,123.76
22900,24,104.85,-144.39,123.76
23000,122,103.13,-144.39,125.48
23100,33,101.99,-144.39,127.2
23200,140,101.41,-144.96,128.34
23300,89,100.84,-145.53,128.92
23400,193,101.99,-144.96,129.49
23500,89,100.84,-145.53,128.92
23600,79,100.27,-146.68,130.06
23700,180,76.2,175.33,133.5
23800,132,56.72,148.97,129.49
23900,412,28.65,115.74,107.72
24000,163,13.18,108.86,85.37
24100,277,10.89,111.15,81.93
24200,37,16.62,112.3,92.25
24300,35,29.79,119.75,113.45
24400,154,40.11,131.21,124.9
24500,67,71.62,171.31,135.79
24600,153,91.67,-163.87,131.78
24700,114,98.55,-155.27,127.77
24800,41,101.99,-150.69,125.48
24900,142,101.41,-151.26,124.9
25000,204,100.84,-151.26,126.05
25100,79,100.27,-151.26,126.62
25200,225,97.98,-152.41,128.34
25300,101,99.12,-152.41,128.34
25400,198,98.55,-152.98,129.49
25500,112,90.53,-163.29,134.07
25600,30,80.79,-175.33,136.36
25700,157,47.56,139.8,130.06
25800,265,26.36,114.02,115.74
25900,337,10.89,99.69,98.55
26000,235,2.86,99.12,79.07
26100,81,2.86,99.69,79.64
26200,186,8.02,99.12,90.53
26300,84,16.62,101.41,106.0
26400,54,37.24,122.61,131.21
26500,179,59.01,148.97,139.23
26600,90,93.39,-166.73,135.22
26700,187,104.28,-150.69,126.62
26800,253,105.42,-147.82,125.48
26900,106,106.0,-142.09,124.9
27000,65,104.85,-142.67,126.62
27100,86,103.13,-143.24,127.2
27200,73,102.56,-144.39,128.34
27300,92,101.41,-144.39,130.06
27400,102,101.41,-144.96,130.06
27500,53,101.41,-146.1,130.63
27600,70,101.41,-146.1,130.63
27700,163,100.84,-146.1,131.21
27800,73,96.26,-150.11,134.07
27900,88,70.47,171.89,139.23
28000,147,35.52,123.19,126.05
28100,241,21.77,105.42,108.29
28200,210,13.75,98.55,86.52
28300,267,12.03,97.4,81.93
28400,172,14.9,99.12,91.1
28500,273,25.21,104.85,111.15
28600,29,33.23,114.02,122.04
28700,81,61.31,148.4,136.94
28800,125,85.94,-176.47,135.79
28900,190,94.54,-165.01,132.93
29000,129,100.84,-150.11,127.77
29100,99,103.13,-146.1,126.62
29200,136,102.56,-146.68,127.77
29300,157,102.56,-146.68,127.77
29400,144,100.84,-148.4,130.06
29500,33,100.27,-148.4,130.63
29600,126,97.4,-151.26,131.78
29700,8,88.24,-167.3,134.65
29800,134,66.46,158.71,134.07
29900,227,39.53,125.48,121.47
30000,262,20.05,106.57,101.99
30100,54,8.02,103.71,83.65
30200,47,2.29,105.42,76.2
30300,138,12.03,106.57,90.53
30400,210,18.91,108.86,102.56
30500,34,46.41,134.65,126.05
30600,212,72.77,169.6,132.93
30700,120,86.52,-176.47,132.35
30800,82,96.83,-162.72,128.92
30900,115,98.55,-158.71,127.77
31000,200,98.55,-158.71,127.77
31100,142,96.83,-159.86,128.34
31200,194,95.68,-160.43,128.34
