Time,EMG_value,Yaw,Roll,Pitch
0,12,-68.18,-101.41,64.74
100,24,-68.75,-101.41,65.32
200,19,-68.75,-101.41,65.89
300,39,-68.75,-100.84,67.04
400,28,-69.33,-100.27,67.04
500,23,-68.75,-100.27,65.89
600,29,-68.75,-100.27,65.32
700,36,-68.75,-100.27,65.89
800,30,-68.75,-100.27,65.89
900,83,-69.9,-100.27,65.89
1000,23,-69.9,-100.27,65.89
1100,43,-69.9,-100.27,65.89
1200,41,-69.9,-100.27,65.89
1300,28,-69.9,-99.12,65.32
1400,56,-69.9,-99.12,65.89
1500,89,-69.9,-99.12,65.89
1600,64,-70.47,-99.12,65.89
1700,32,-70.47,-99.12,66.46
1800,72,-70.47,-99.12,66.46
1900,46,-69.33,-103.71,67.61
2000,29,-69.33,-122.61,71.62
2100,36,-68.75,-139.23,75.06
2200,502,-74.48,-171.89,80.21
2300,190,-76.2,170.74,80.21
2400,227,-76.2,162.15,79.64
2500,221,-75.06,158.71,79.64
2600,144,-75.06,157.56,79.64
2700,209,-75.06,158.71,79.64
2800,34,-74.48,158.71,80.21
2900,149,-73.91,158.71,80.21
3000,39,-72.77,168.45,79.07
3100,25,-71.62,174.75,79.07
3200,199,-66.46,-128.92,69.33
3300,75,-69.9,-107.72,65.89
3400,34,-71.05,-97.98,64.17
3500,76,-72.19,-93.39,63.6
3600,38,-72.19,-95.11,64.74
3700,32,-71.62,-96.26,64.74
3800,78,-71.62,-96.26,64.74
3900,52,-71.62,-96.83,65.32
4000,32,-71.62,-95.68,65.89
4100,58,-71.62,-95.68,65.89
4200,129,-71.05,-97.98,65.89
4300,100,-71.05,-108.86,67.61
4400,33,-69.33,-140.37,73.91
4500,142,-72.77,-174.75,80.79
4600,226,-75.06,163.87,80.79
4700,275,-75.06,159.86,80.79
4800,101,-75.06,158.71,80.79
4900,140,-74.48,158.71,80.21
5000,193,-73.91,158.71,80.79
5100,133,-73.91,158.71,80.79
5200,146,-72.77,162.15,80.79
5300,95,-69.9,-165.01,78.5
5400,104,-66.46,-138.66,74.48
5500,183,-67.61,-120.32,71.62
5600,71,-68.18,-107.14,69.9
5700,41,-69.9,-99.12,65.89
5800,25,-71.05,-99.12,65.32
5900,40,-72.19,-99.12,64.74
6000,131,-72.19,-99.12,64.74
6100,39,-72.19,-97.98,64.74
6200,57,-72.19,-98.55,65.32
6300,270,-71.62,-104.28,65.89
6400,173,-71.05,-120.32,69.33
6500,77,-69.9,-140.95,73.91
6600,168,-77.35,173.03,86.52
6700,388,-78.5,162.72,86.52
6800,256,-77.35,156.99,84.22
6900,111,-76.2,156.99,83.08
7000,33,-75.63,155.84,83.08
7100,127,-75.63,156.99,82.51
7200,94,-75.06,158.14,83.08
7300,90,-73.91,162.72,83.08
7400,136,-72.77,-177.62,82.51
7500,177,-71.62,-170.74,83.65
7600,109,-67.61,-131.78,77.92
7700,88,-68.18,-118.6,75.06
7800,88,-68.18,-118.6,75.06
7900,80,-71.62,-96.83,66.46
8000,69,-70.47,-97.98,67.04
8100,52,-70.47,-96.83,67.04
8200,42,-70.47,-97.98,67.61
8300,110,-70.47,-97.98,67.61
8400,110,-70.47,-97.98,67.61
8500,52,-70.47,-97.98,67.61
8600,42,-69.33,-117.46,72.77
8700,61,-69.9,-148.97,80.21
8800,118,-75.06,-178.76,86.52
8900,260,-77.35,166.73,88.24
9000,181,-77.92,160.43,87.66
9100,390,-78.5,156.99,85.94
9200,450,-77.92,155.84,85.94
9300,249,-77.92,155.84,85.94
9400,241,-77.35,158.14,84.8
9500,133,-73.91,178.19,83.08
9600,110,-71.62,-165.01,80.79
9700,108,-68.18,-137.51,74.48
9800,293,-68.75,-122.04,71.05
9900,114,-70.47,-103.13,68.75
10000,43,-72.77,-97.98,67.61
10100,81,-72.77,-97.4,68.18
10200,99,-71.62,-97.4,68.75
10300,29,-71.62,-97.4,68.18
10400,71,-72.77,-97.4,68.18
10500,69,-72.19,-100.27,68.18
10600,73,-71.05,-109.43,69.33
10700,87,-69.9,-139.8,75.06
10800,150,-71.62,-158.14,80.21
10900,137,-76.2,168.45,87.09
11000,122,-76.78,161.57,87.66
11100,127,-76.78,156.99,87.09
11200,85,-77.35,155.84,86.52
11300,82,-76.78,155.84,86.52
11400,146,-76.78,155.84,85.94
11500,119,-76.2,156.99,86.52
11600,37,-72.77,-179.91,86.52
11700,89,-68.18,-153.55,80.79
11800,46,-67.61,-140.95,77.35
11900,46,-67.61,-140.95,77.35
12000,129,-69.33,-106.0,69.33
12100,92,-70.47,-104.28,68.75
12200,77,-71.05,-101.99,69.33
12300,12,-70.47,-104.28,69.33
12400,58,-70.47,-104.28,69.33
12500,295,-69.9,-106.57,69.9
12600,47,-69.33,-127.2,74.48
